Well Name,Depth (m),Quartz,K-Feldspar,Plagioclase,Total Feldspar,Chlorite,IlliteSmectiteMica,Kaolinite,Total Clay,Calcite,Ankerite/Dolomite,Total Carbonate,Pyrite,Organics ,,,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl ,Zr
,,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,,,%,%,%,%,%,%,%,%,%,%,%,%,ppm
Well 1,3173.97,27.56,0.40,8.17,8.56,5.46,20.73,n/a,26.19,26.11,9.30,35.41,1.94,0.34,,,7.27,42.24,0.42,3.40,0.02,0.53,19.49,0.78,1.19,0.20,1.20,0.28,201.70
Well 1,3183.11,42.92,0.64,9.63,10.27,4.10,15.61,n/a,19.71,18.31,5.07,23.38,1.51,2.21,,,5.08,50.17,0.39,2.08,0.02,0.09,15.52,0.93,1.01,0.19,0.81,0.26,395.35
Well 1,3192.26,44.55,0.56,10.07,10.64,4.33,15.17,n/a,19.50,16.78,6.14,22.92,0.80,1.60,,,5.05,46.91,0.38,2.14,0.02,0.15,15.52,0.87,0.98,0.18,0.76,0.23,362.70
Well 1,3201.40,42.65,0.38,9.04,9.41,4.02,14.56,n/a,18.58,21.27,4.49,25.77,1.06,2.53,,,5.23,48.14,0.45,2.26,0.02,0.14,15.46,0.87,1.05,0.22,0.96,0.26,410.10
Well 1,3210.54,42.61,1.26,8.95,10.22,3.66,15.53,n/a,19.19,19.77,4.35,24.11,1.10,2.77,,,5.00,45.77,0.38,2.39,0.02,0.21,18.65,0.82,1.06,0.25,1.16,0.24,401.50
Well 1,3219.69,40.13,1.10,9.94,11.04,3.43,14.62,n/a,18.05,21.55,5.86,27.41,1.54,1.83,,,6.01,45.83,0.43,2.62,0.02,0.24,19.24,0.83,1.19,0.29,1.27,0.23,393.78
Well 1,3228.83,40.32,5.20,7.72,12.93,2.80,10.76,n/a,13.56,23.80,8.36,32.17,1.03,0.00,,,5.57,39.15,0.43,2.51,0.03,0.34,27.75,0.62,1.07,0.13,1.20,0.30,238.04
Well 1,3237.98,36.02,0.08,8.87,8.95,4.01,14.61,n/a,18.62,27.36,5.73,33.09,1.47,1.85,,,5.18,43.49,0.39,2.29,0.02,0.21,22.40,0.75,1.04,0.20,1.31,0.28,433.36
Well 1,3247.12,36.48,0.26,8.62,8.88,3.99,16.11,n/a,20.10,24.10,6.83,30.93,1.62,2.00,,,4.86,39.77,0.42,2.33,0.03,0.22,20.34,0.66,1.13,0.21,1.25,0.26,337.65
